Time,RT,kW_Tot,kW_RT,CH Load,CH1,CH2,CH3,CH4,kW_CHH,kW_CHP,kW_CHS,kW_CDS,kW_CT,GPM,DeltaCHW,CHWS,CHWR,DeltaCDW,CDHI,CDLO,WBT,DeltaCT,Hz_ CHP,Hz_CHS,Hz_CDS,Hz_CT,Precent_CH,Precent_ CHP,Precent_CDS,Precent_CT
2024-08-02 00:00:00,156.98333333333332,190.3166666666667,1.2398333333333333,36.733333333333334,1.0,0.0,0.0,0.0,124.66666666666667,19.5,0.0,27.566666666666666,18.616666666666667,1249.3333333333333,3.016666666666667,44.56666666666666,47.583333333333336,3.1666666666666665,81.28333333333333,78.11666666666666,72.7,-5.416666666666667,45.0,0.0,45.0,47.0,64.76666666666667,10.466666666666667,14.799999999999999,10.016666666666667
2024-08-02 01:00:00,160.68333333333334,180.46666666666667,1.1528333333333334,33.81666666666667,1.0,0.0,0.0,0.0,114.76666666666665,19.466666666666665,0.0,27.53333333333333,18.666666666666668,1250.8166666666666,3.0833333333333335,44.4,47.48333333333333,3.0666666666666664,81.03333333333335,77.96666666666667,72.7,-5.266666666666667,45.0,0.0,45.0,47.0,62.4,11.15,15.766666666666666,10.666666666666666
2024-08-02 02:00:00,150.38333333333333,184.08333333333334,1.2545,34.766666666666666,1.0,0.0,0.0,0.0,118.46666666666665,19.433333333333334,0.0,27.5,18.683333333333334,1244.7666666666667,2.9,44.43333333333334,47.333333333333336,2.966666666666667,80.76666666666667,77.8,72.7,-5.1000000000000005,45.0,0.0,45.0,47.0,63.5,10.833333333333334,15.283333333333331,10.416666666666666
2024-08-02 03:00:00,141.06666666666666,182.0,1.3181666666666667,34.25,1.0,0.0,0.0,0.0,116.28333333333335,19.5,0.0,27.583333333333332,18.650000000000002,1246.2166666666665,2.716666666666667,44.43333333333334,47.15,2.966666666666667,80.45,77.48333333333333,72.7,-4.783333333333333,45.0,0.0,45.0,47.0,62.916666666666664,11.0,15.550000000000002,10.516666666666667
2024-08-02 04:00:00,120.73333333333333,154.93333333333334,1.0293333333333334,26.28333333333333,0.8333333333333334,0.0,0.0,0.0,89.25,19.483333333333334,0.0,27.53333333333333,18.666666666666668,1042.6166666666668,2.8166666666666664,44.43333333333334,47.25,2.966666666666667,80.43333333333334,77.46666666666665,72.7,-4.766666666666667,45.0,0.0,45.0,47.0,50.93333333333334,14.566666666666668,20.583333333333332,13.950000000000001
2024-08-02 05:00:00,165.78333333333333,204.4,1.24,40.416666666666664,1.0,0.0,0.0,0.0,137.65,20.616666666666667,0.0,27.55,18.633333333333336,1276.6166666666666,3.1166666666666667,44.68333333333333,47.800000000000004,3.3833333333333333,81.33333333333333,77.95,72.7,-5.25,45.833333333333336,0.0,45.0,47.0,66.71666666666667,10.266666666666667,13.733333333333334,9.283333333333333
2024-08-02 06:00:00,218.78333333333333,214.51666666666665,0.9861666666666666,43.43333333333334,1.0,0.0,0.0,0.0,147.4,20.95,0.0,27.566666666666666,18.583333333333332,1301.8,4.033333333333333,44.86666666666667,48.9,4.25,83.43333333333332,79.18333333333334,72.7,-6.483333333333333,46.0,0.0,45.0,47.0,67.89999999999999,10.033333333333333,13.183333333333332,8.916666666666666
2024-08-02 07:00:00,237.15,225.21666666666667,0.9500000000000001,45.699999999999996,1.0,0.0,0.0,0.0,155.20000000000002,22.3,0.0,29.21666666666667,18.55,1334.05,4.266666666666667,44.93333333333334,49.199999999999996,4.566666666666666,84.43333333333334,79.86666666666667,72.7,-7.166666666666667,46.833333333333336,0.0,45.833333333333336,47.0,68.85000000000001,9.933333333333334,12.983333333333334,8.25
2024-08-02 08:00:00,286.5,263.75,0.9209999999999999,56.083333333333336,1.0,0.0,0.0,0.0,190.4333333333333,22.650000000000002,0.0,31.183333333333334,19.516666666666666,1357.0,5.066666666666666,44.93333333333334,50.0,5.3,86.23333333333333,80.93333333333332,72.7,-8.233333333333334,47.0,0.0,46.833333333333336,47.833333333333336,72.06666666666666,8.616666666666667,11.866666666666667,7.433333333333334
2024-08-02 09:00:00,344.8666666666666,298.8,0.8673333333333333,65.16666666666667,1.0,0.0,0.0,0.0,221.15,23.866666666666664,0.0,33.166666666666664,20.666666666666668,1379.1333333333334,6.0,44.98333333333333,50.98333333333333,5.95,88.26666666666667,82.31666666666666,72.7,-9.616666666666667,47.833333333333336,0.0,47.833333333333336,48.833333333333336,73.95,8.016666666666667,11.133333333333333,6.933333333333334
